cod;denumire;denumire_scurta
02050020;"Carne de cal, de măgar sau de catâr, proaspătă, refrigerată sau congelată — Proaspătă sau refrigerată";"Proaspătă sau refrigerată"
02050080;"Carne de cal, de măgar sau de catâr, proaspătă, refrigerată sau congelată — Congelată";Congelată
02061010;"Organe comestibile de animale din speciile bovine, porcine, ovine, caprine, de cai, de măgari sau de catâri, proaspete, refrigerate sau congelate — De animale din specia bovine, proaspete sau refrigerate — Destinate fabricării de produse farmaceutice";"Destinate fabricării de produse farmaceutice"
02061095;"Organe comestibile de animale din speciile bovine, porcine, ovine, caprine, de cai, de măgari sau de catâri, proaspete, refrigerate sau congelate — De animale din specia bovine, proaspete sau refrigerate — Altele — Mușchii pilieri diafragmatici și diafragma";"Mușchii pilieri diafragmatici și diafragma"
02061098;"Organe comestibile de animale din speciile bovine, porcine, ovine, caprine, de cai, de măgari sau de catâri, proaspete, refrigerate sau congelate — De animale din specia bovine, proaspete sau refrigerate — Altele";Altele
02062100;"Organe comestibile de animale din speciile bovine, porcine, ovine, caprine, de cai, de măgari sau de catâri, proaspete, refrigerate sau congelate — Din specia bovine, congelate — Limbă";Limbă
02062200;"Organe comestibile de animale din speciile bovine, porcine, ovine, caprine, de cai, de măgari sau de catâri, proaspete, refrigerate sau congelate — Din specia bovine, congelate — Ficat";Ficat
02062910;"Organe comestibile de animale din speciile bovine, porcine, ovine, caprine, de cai, de măgari sau de catâri, proaspete, refrigerate sau congelate — Din specia bovine, congelate — Altele — Destinate fabricării produselor farmaceutice";"Destinate fabricării produselor farmaceutice"
02062991;"Organe comestibile de animale din speciile bovine, porcine, ovine, caprine, de cai, de măgari sau de catâri, proaspete, refrigerate sau congelate — Din specia bovine, congelate — Altele — Mușchii pilieri diafragmatici și diafragma";"Mușchii pilieri diafragmatici și diafragma"
02062999;"Organe comestibile de animale din speciile bovine, porcine, ovine, caprine, de cai, de măgari sau de catâri, proaspete, refrigerate sau congelate — Din specia bovine, congelate — Altele";Altele
02063000;"Organe comestibile de animale din speciile bovine, porcine, ovine, caprine, de cai, de măgari sau de catâri, proaspete, refrigerate sau congelate — Din specia porcine, proaspete sau refrigerate";"Din specia porcine, proaspete sau refrigerate"
02064100;"Organe comestibile de animale din speciile bovine, porcine, ovine, caprine, de cai, de măgari sau de catâri, proaspete, refrigerate sau congelate — Din specia porcine, congelate — Ficat";Ficat
02064900;"Organe comestibile de animale din speciile bovine, porcine, ovine, caprine, de cai, de măgari sau de catâri, proaspete, refrigerate sau congelate — Din specia porcine, congelate — Altele";Altele
02068010;"Organe comestibile de animale din speciile bovine, porcine, ovine, caprine, de cai, de măgari sau de catâri, proaspete, refrigerate sau congelate — Altele, proaspete sau refrigerate — Destinate fabricării de produse farmaceutice";"Destinate fabricării de produse farmaceutice"
02068091;"Organe comestibile de animale din speciile bovine, porcine, ovine, caprine, de cai, de măgari sau de catâri, proaspete, refrigerate sau congelate — Altele, proaspete sau refrigerate — Altele — De cai, măgari sau catâri";"De cai, măgari sau catâri"
02068099;"Organe comestibile de animale din speciile bovine, porcine, ovine, caprine, de cai, de măgari sau de catâri, proaspete, refrigerate sau congelate — Altele, proaspete sau refrigerate — Altele — Din speciile ovine sau caprine";"Din speciile ovine sau caprine"
02069010;"Organe comestibile de animale din speciile bovine, porcine, ovine, caprine, de cai, de măgari sau de catâri, proaspete, refrigerate sau congelate — Altele, congelate — Destinate fabricării de produse farmaceutice";"Destinate fabricării de produse farmaceutice"
02069091;"Organe comestibile de animale din speciile bovine, porcine, ovine, caprine, de cai, de măgari sau de catâri, proaspete, refrigerate sau congelate — Altele, congelate — Altele — De cai, măgari sau catâri";"De cai, măgari sau catâri"
02069099;"Organe comestibile de animale din speciile bovine, porcine, ovine, caprine, de cai, de măgari sau de catâri, proaspete, refrigerate sau congelate — Altele, congelate — Altele — Din speciile ovine sau caprine";"Din speciile ovine sau caprine"
02071110;"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105 — De cocoși și de găini din specia Gallus domesticus — Netranșate în bucăți, proaspete sau refrigerate — Fără pene, eviscerate, cu cap și picioare, denumite „pui 83 %”";"Fără pene, eviscerate, cu cap și picioare, denumite „pui 83 %”"
02071130;"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105 — De cocoși și de găini din specia Gallus domesticus — Netranșate în bucăți, proaspete sau refrigerate — Fără pene, eviscerate, fără cap și picioare, dar cu gât, inimă, ficat și pipotă, denumite „pui 70 %”";"Fără pene, eviscerate, fără cap și picioare, dar cu gât, inimă, ficat și pipotă, denumite „pui 70 %”"
02071190;"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105 — De cocoși și de găini din specia Gallus domesticus — Netranșate în bucăți, proaspete sau refrigerate — Fără pene, eviscerate, fără cap și picioare și fără gât, inimă, ficat și pipotă, denumite „pui 65 %” sau altfel prezentate";"Fără pene, eviscerate, fără cap și picioare și fără gât, inimă, ficat și pipotă, denumite „pui 65 %” sau altfel prezentate"
02071210;"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105 — De cocoși și de găini din specia Gallus domesticus — Netranșate în bucăți, congelate — Fără pene, eviscerate, fără cap și picioare, dar cu gât, inimă, ficat și pipotă, denumite „pui 70 %”";"Fără pene, eviscerate, fără cap și picioare, dar cu gât, inimă, ficat și pipotă, denumite „pui 70 %”"
02071290;"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105 — De cocoși și de găini din specia Gallus domesticus — Netranșate în bucăți, congelate — Fără pene, eviscerate, fără cap și picioare și fără gât, inimă, ficat și pipotă, denumite „pui 65 %”, sau altfel prezentate";"Fără pene, eviscerate, fără cap și picioare și fără gât, inimă, ficat și pipotă, denumite „pui 65 %”, sau altfel prezentate"
02071310;"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105 — De cocoși și de găini din specia Gallus domesticus — Bucăți și organe, proaspete sau refrigerate — Bucăți — Dezosate";Dezosate
02071320;"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105 — De cocoși și de găini din specia Gallus domesticus — Bucăți și organe, proaspete sau refrigerate — Bucăți — Nedezosate — Jumătăți sau sferturi";"Jumătăți sau sferturi"
02071330;"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105 — De cocoși și de găini din specia Gallus domesticus — Bucăți și organe, proaspete sau refrigerate — Bucăți — Nedezosate — Aripi întregi, cu sau fără vârfuri";"Aripi întregi, cu sau fără vârfuri"
02071340;"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105 — De cocoși și de găini din specia Gallus domesticus — Bucăți și organe, proaspete sau refrigerate — Bucăți — Nedezosate — Spate, gâturi, spate cu gâturi împreună, târtițe, vârfuri de aripi";"Spate, gâturi, spate cu gâturi împreună, târtițe, vârfuri de aripi"
02071350;"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105 — De cocoși și de găini din specia Gallus domesticus — Bucăți și organe, proaspete sau refrigerate — Bucăți — Nedezosate — Piept și bucăți de piept";"Piept și bucăți de piept"
02071360;"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105 — De cocoși și de găini din specia Gallus domesticus — Bucăți și organe, proaspete sau refrigerate — Bucăți — Nedezosate — Pulpe și bucăți de pulpe";"Pulpe și bucăți de pulpe"
02071370;"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105 — De cocoși și de găini din specia Gallus domesticus — Bucăți și organe, proaspete sau refrigerate — Bucăți — Nedezosate — Altele";Altele
02071391;"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105 — De cocoși și de găini din specia Gallus domesticus — Bucăți și organe, proaspete sau refrigerate — Organe — Ficat";Ficat
02071399;"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105 — De cocoși și de găini din specia Gallus domesticus — Bucăți și organe, proaspete sau refrigerate — Organe — Altele";Altele
02071410;"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105 — De cocoși și de găini din specia Gallus domesticus — Bucăți și organe, congelate — Bucăți — Dezosate";Dezosate
02071420;"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105 — De cocoși și de găini din specia Gallus domesticus — Bucăți și organe, congelate — Bucăți — Nedezosate — Jumătăți sau sferturi";"Jumătăți sau sferturi"
02071430;"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105 — De cocoși și de găini din specia Gallus domesticus — Bucăți și organe, congelate — Bucăți — Nedezosate — Aripi întregi, cu sau  fără vârfuri";"Aripi întregi, cu sau  fără vârfuri"
02071440;"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105 — De cocoși și de găini din specia Gallus domesticus — Bucăți și organe, congelate — Bucăți — Nedezosate — Spate, gâturi, spate cu gâturi împreună, târtițe, vârfuri de aripi";"Spate, gâturi, spate cu gâturi împreună, târtițe, vârfuri de aripi"
02071450;"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105 — De cocoși și de găini din specia Gallus domesticus — Bucăți și organe, congelate — Bucăți — Nedezosate — Piept și bucăți de piept";"Piept și bucăți de piept"
